Codigo;Abreviatura;Descritivo;Ano;NumAlunos;Secretario;Escola;DirTurma
1/2 AM;12AM;Turma 1.º e 2.º ano - EB Miratejo;1;0;;3;
10A;10A;Ciências e Tecnologias;10;28;;1;
10B;10B;Ciências e Tecnologias;10;28;;1;
10C;10C;Ciências e Tecnologias;10;28;;1;
10D;10D;Ciências e Tecnologias;10;28;;1;
10E;10E;Ciências Socioeconómicas;10;26;;1;
10F;10F;Ciências Socioeconómicas;10;0;;1;
10G;10G;Línguas e Humanidades;10;28;;1;
10GEI;GE1º;C.P. Gestão de Equipamentos Informáticos;10;25;;1;
10H;10H;Línguas e Humanidades;10;26;;1;
10I;10I;Línguas e Humanidades;10;0;;1;
10J;10J;Artes Visuais;10;0;;1;
10PSI;PS1º;C.P. Programação S. Informáticos;10;25;;1;
10TEA;10TE;C.P. Ator / Atriz / Interprete;10;0;;1;
11A;11A;Ciências e Tecnologias;11;27;;1;
11B;11B;Ciências e Tecnologias;11;22;;1;
11C;11C;Ciências e Tecnologias;11;22;;1;
11D;11D;Ciências e Tecnologias;11;28;;1;
11E;11E;Ciências Socioeconómicas;11;30;;1;
11F;11F;Ciências Socioeconómicas;11;30;;1;
11G;11G;Línguas e Humanidades;11;0;;1;
11GEI;GE2º;C.P. Gestão de Equipamentos Informáticos;11;28;;1;
11H;11H;Línguas e Humanidades;11;0;;1;
11I;11I;Línguas e Humanidades;11;30;;1;
11J;11J;Artes Visuais;11;23;;1;
11PSI;PS2º;C.P. Programação S. Informáticos;11;27;;1;
11TEA;11TE;C.P. Ator / Atriz / Interprete;11;0;;1;
12A;12A;Ciências e Tecnologias;12;29;;1;
12B;12B;Ciências e Tecnologias;12;29;;1;
12C;12C;Ciências e Tecnologias;12;26;;1;
12D;12D;Ciências e Tecnologias;12;26;;1;
12E;12E;Ciências Socioeconómicas;12;25;;1;
12F;12F;Línguas e Humanidades;12;22;;1;
12G;12G;Línguas e Humanidades;12;0;;1;
12GEI;GE3º;C.P. Gestão de Equipamentos Informáticos;12;23;;1;
12H;12H;Línguas e Humanidades;12;0;;1;
12I;12I;Artes Visuais;12;0;;1;
12PSI;PS3º;C.P. Programação S. Informáticos;12;24;;1;
1AJ;1AJ;Turma 1.ºano - EB José Afonso;1;0;;4;
1AN;1AN;Turma 1.ºano - EB D. Nuno Álvares Pereira;1;0;;5;
1BM;1BM;Turma 1.ºano - EB Miratejo;1;0;;3;
1BN;1BN;Turma 1.º ano - EB D. Nuno Álvares Pereira;1;0;;5;
1CM;1CM;Turma 1.ºano - EB Miratejo;1;0;;3;
2AJ;2AJ;Turma 2.ºano - EB José Afonso;2;0;;4;
2AM;2AM;Turma 2.ºano - EB Miratejo;2;0;;3;
2AN;2AN;Turma 2.ºano - EB D. Nuno Álvares Pereira;2;0;;5;
2BM;2BM;Turma  2.ºano - EB Miratejo;2;0;;3;
2CM;2CM;Turma 2.ºano - EB Miratejo;2;0;;3;
3AJ;3AJ;Turma 3.º ano - EB José Afonso;3;0;;4;
3AM;3AM;Turma 3.ºano - EB Miratejo;3;0;;3;
3AN;3AN;Turma 3.ºano - EB D. Nuno Álvares Pereira;3;0;;5;
3BM;3BM;Turma 3.ºano - EB Miratejo;3;0;;3;
3CM;3CM;Turma 3.º ano - EB Miratejo;3;0;;3;
4AJ;4AJ;Turma 4ºano - EB José Afonso;4;0;;4;
4AM;4AM;Turma 4.ºano - EB Miratejo;4;0;;3;
4AN;4AN;Turma 4.ºano - EB D. Nuno Álvares Pereira;4;0;;5;
4BM;4BM;Turma 4ºano - EB Miratejo;4;0;;3;
4BN;4BN;Turma 4.ºano - EB D. Nuno Álvares Pereira;4;0;;5;
4CM;4CM;Turma 4.º ano - EB Miratejo;4;0;;3;
5A;5A;Teatro;5;20;;2;
5B;5B;Teatro;5;20;;2;
5C;5C;Teatro;5;20;;2;
5D;5D;Teatro;5;26;;2;
5E;5E;Teatro;5;26;;2;
6A;6A;Teatro;6;20;;2;
6B;6B;Teatro;6;20;;2;
6C;6C;Teatro;6;20;;2;
6D;6D;Teatro;6;28;;2;
7A;7A;Teatro;7;20;;2;
7AJ;7AJ;Teatro;7;28;;1;
7B;7B;Educação Tecnológica;7;27;;2;
7BJ;7BJ;Teatro;7;28;;1;
7C;7C;Educação Tecnológica;7;24;;2;
7CJ;7CJ;Teatro;7;28;;1;
7D;7D;Teatro;7;25;;2;
7DJ;7DJ;Programação e Robótica;7;28;;1;
7E;7E;Teatro;7;25;;2;
7EJ;7EJ;Programação e Robótica;7;21;;1;
7F;7F;Teatro;7;25;;2;
7FJ;7FJ;Programação e Robótica;7;0;;1;
7G;7G;Teatro;7;25;;2;
8A;8A;Teatro;8;27;;2;
8AJ;8AJ;Teatro /ensino articulado);8;30;;1;
8B;8B;Teatro;8;20;;2;
8BJ;8BJ;Teatro;8;30;;1;
8C;8C;Teatro;8;20;;2;
8CJ;8CJ;Teatro;8;26;;1;
8D;8D;Teatro;8;28;;2;
8DJ;8DJ;Programação e Robótica;8;26;;1;
8EJ;8EJ;Programação e Robótica;8;26;;1;
8FJ;8FJ;Programação e Robótica;8;26;;1;
8GJ;8GJ;Programação e Robótica;8;26;;1;
9A;9A;Teatro;9;26;;2;
9AJ;9AJ;Educação Tecnológica;9;30;;1;
9B;9B;Teatro;9;27;;2;
9BJ;9BJ;Educação Tecnológica;9;29;;1;
9C;9C;Teatro;9;20;;2;
9CJ;9CJ;Teatro;9;29;;1;
9D;9D;Teatro;9;28;;2;
9DJ;9DJ;Teatro;9;29;;1;
9E;9E;Teatro;9;0;;2;
9EJ;9EJ;Teatro;9;30;;1;
9FJ;9FJ;Educação Tecnológica / Teatro;9;0;;1;
Pré;Pré;Apoio EE _ Pré escolar;1;0;;1;
VAE_EB;VAE_;VAE_EB;1;0;;1;
VAE_JA;VAE_;VAE_EB José Afonso;1;0;;4;
VAE_M;VAE;VAE_EB Miratejo;1;0;;3;
VAE_NAP;VAE_;VAE_EB D. Nuno Álv. Pereira;1;0;;5;
